"Story","Title","Result","Date","Stability","Duration (s)"
"CRUD test","Creating new user.","SUCCESS","2023-06-07T22:30:16.489+01:00[Europe/London]","0.0","4.9"
"CRUD test","Verifying user was created.","SUCCESS","2023-06-07T22:30:21.417+01:00[Europe/London]","0.0","1.3"
"CRUD test","Updating the user and verifying updated information.","SUCCESS","2023-06-07T22:30:22.714+01:00[Europe/London]","0.0","1.65"
"CRUD test","Deleting the user and verifying user was deleted.","SUCCESS","2023-06-07T22:30:24.368+01:00[Europe/London]","0.0","1.51"
